date,home_team,away_team,team,scorer,minute,own_goal,penalty,home_id,away_id,team_id,player_slug,match_id,player_id
2025-06-05,Spain,France,Spain,Mikel Merino,25.0,false,false,spain,france,spain,mikel-merino,20250605-spain-france,spain/mikel-merino
2025-06-05,Spain,France,Spain,Lamine Yamal,54.0,false,true,spain,france,spain,lamine-yamal,20250605-spain-france,spain/lamine-yamal
2025-06-05,Spain,France,Spain,Pedri,55.0,false,false,spain,france,spain,pedri,20250605-spain-france,spain/pedri
2025-06-05,Spain,France,France,Kylian Mbappé,59.0,false,true,spain,france,france,kylian-mbappe,20250605-spain-france,france/kylian-mbappe
2025-06-05,Spain,France,Spain,Lamine Yamal,67.0,false,false,spain,france,spain,lamine-yamal,20250605-spain-france,spain/lamine-yamal
2025-06-05,Spain,France,France,Rayan Cherki,79.0,false,false,spain,france,france,rayan-cherki,20250605-spain-france,france/rayan-cherki
2025-06-05,Spain,France,France,Daniel Vivian,84.0,true,false,spain,france,france,daniel-vivian,20250605-spain-france,france/daniel-vivian
2025-06-05,Spain,France,France,Randal Kolo Muani,90.0,false,false,spain,france,france,randal-kolo-muani,20250605-spain-france,france/randal-kolo-muani
2025-06-07,Andorra,England,England,Harry Kane,50.0,false,false,andorra,england,england,harry-kane,20250607-andorra-england,england/harry-kane
2025-06-07,Finland,Netherlands,Netherlands,Memphis Depay,6.0,false,false,finland,netherlands,netherlands,memphis-depay,20250607-finland-netherlands,netherlands/memphis-depay
2025-06-07,Finland,Netherlands,Netherlands,Denzel Dumfries,23.0,false,false,finland,netherlands,netherlands,denzel-dumfries,20250607-finland-netherlands,netherlands/denzel-dumfries
2025-06-08,Germany,France,France,Kylian Mbappé,45.0,false,false,germany,france,france,kylian-mbappe,20250608-germany-france,france/kylian-mbappe
2025-06-08,Germany,France,France,Michael Olise,84.0,false,false,germany,france,france,michael-olise,20250608-germany-france,france/michael-olise
2025-06-08,Portugal,Spain,Spain,Martín Zubimendi,21.0,false,false,portugal,spain,spain,martin-zubimendi,20250608-portugal-spain,spain/martin-zubimendi
2025-06-08,Portugal,Spain,Spain,Mikel Oyarzabal,45.0,false,false,portugal,spain,spain,mikel-oyarzabal,20250608-portugal-spain,spain/mikel-oyarzabal
