date,home_score,away_score,tournament,city,country,neutral,home_id,away_id,tier,match_id,home_team_name,away_team_name,shootout_winner_id
2000-07-02,2,1,UEFA Euro,Rotterdam,Netherlands,true,france,italy,continental,20000702-france-italy,France,Italy,
2000-07-26,3,1,FIFA World Cup qualification,São Paulo,Brazil,false,brazil,argentina,qualifier,20000726-brazil-argentina,Brazil,Argentina,
2000-08-16,4,1,Friendly,Hanover,Germany,false,germany,spain,friendly,20000816-germany-spain,Germany,Spain,
2000-09-02,1,1,Friendly,Saint-Denis,France,false,france,england,friendly,20000902-france-england,France,England,
2000-10-07,0,1,FIFA World Cup qualification,London,England,false,england,germany,qualifier,20001007-england-germany,England,Germany,
2000-11-15,1,0,Friendly,Turin,Italy,false,italy,england,friendly,20001115-italy-england,Italy,England,
2000-11-15,1,2,Friendly,Seville,Spain,false,spain,netherlands,friendly,20001115-spain-netherlands,Spain,Netherlands,
2001-02-27,1,0,Friendly,Saint-Denis,France,false,france,germany,friendly,20010227-france-germany,France,Germany,
2001-02-28,3,0,Friendly,Birmingham,England,false,england,spain,friendly,20010228-england-spain,England,Spain,
2001-02-28,1,2,Friendly,Rome,Italy,false,italy,argentina,friendly,20010228-italy-argentina,Italy,Argentina,
2001-03-28,2,1,Friendly,Valencia,Spain,false,spain,france,friendly,20010328-spain-france,Spain,France,
2001-06-07,2,1,Confederations Cup,Suwon,South Korea,true,france,brazil,continental,20010607-france-brazil,France,Brazil,
2001-08-15,0,2,Friendly,London,England,false,england,netherlands,friendly,20010815-england-netherlands,England,Netherlands,
2001-09-01,1,5,FIFA World Cup qualification,Munich,Germany,false,germany,england,qualifier,20010901-germany-england,Germany,England,
2001-09-05,2,1,FIFA World Cup qualification,Buenos Aires,Argentina,false,argentina,brazil,qualifier,20010905-argentina-brazil,Argentina,Brazil,
2002-02-13,1,1,Friendly,Amsterdam,Netherlands,false,netherlands,england,friendly,20020213-netherlands-england,Netherlands,England,
2002-03-27,1,2,Friendly,Leeds,England,false,england,italy,friendly,20020327-england-italy,England,Italy,
2002-03-27,1,0,Friendly,Rotterdam,Netherlands,false,netherlands,spain,friendly,20020327-netherlands-spain,Netherlands,Spain,
2002-04-17,0,1,Friendly,Stuttgart,Germany,false,germany,argentina,friendly,20020417-germany-argentina,Germany,Argentina,
